[15:19:54] Deco:False | Orange:False | Internet:True → ❌ Deco niet bereikbaar – intern netwerkprobleem
[15:57:30] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:35] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:40] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:45] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:50] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:57:56] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:01] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:06] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:11] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:17] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:22] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:27] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:32] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:37] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:43] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:48] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:53] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:58:58] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:04] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:09] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:14] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:20] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:25] Router:True | Modem:True | Internet:False → 🔴 Internet down – ISP of DNS-storing
[15:59:31] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:36] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:41] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:46] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:51] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[15:59:57] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:02] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:07] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:12] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:17] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:23] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:28] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:33] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:38] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:44] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:49] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:54] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:00:59] Router:True | Modem:True | Internet:False → 🔴 Internet down – ISP of DNS-storing
[16:01:05] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:10] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:16] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:21] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:26] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:31] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:37] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:42] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:47] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:53] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:01:58] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:03] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:09] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:14] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:20] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:25] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:31] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:36] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:41] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:46] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:52] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:02:57] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:02] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:08] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:13] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:19] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:24] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:30] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:35] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:40] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:46] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:51] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:03:56] Router:True | Modem:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:33] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:38] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:43] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:48] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:54] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:07:59] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:04] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:09] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:14] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:19] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:24] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:29] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:35] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:40] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:45] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:50] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:08:55] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:00] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:05] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:11] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:16] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:21] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:26] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:31] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:37] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:42] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:47] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:53] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:09:58] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:10:04] 192.168.5.1:True | Internet:True → ✅ Alles OK – verbinding stabiel
[16:33:16] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:21] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:26] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:32] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:37] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:42] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:47] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
[16:33:52] 192.168.1.1:True | 192.168.5.1:True | Internet:True → ✅ All good — connection stable
